id,date,text,user,location,business_type,likes,shares
1,2024-03-14,Disappointed with product quality,user_1,Chennai,retail shop,410,164
2,2024-01-19,"Waste of money, not recommended",user_2,Chennai,restaurant,392,69
3,2024-02-12,"Worst experience ever, very disappointed",user_3,Chennai,retail shop,409,27
4,2024-03-30,Disappointed with product quality,user_4,Bangalore,cafe,278,93
5,2024-02-16,Average ambiance and service,user_5,Bangalore,retail shop,348,66
6,2024-01-01,"Worst experience ever, very disappointed",user_6,Delhi,cafe,53,97
7,2024-01-10,"Waste of money, not recommended",user_7,Delhi,retail shop,274,108
8,2024-02-25,Very satisfied with the service provided,user_8,Mumbai,cafe,38,37
9,2024-03-13,Bad quality food and poor hygiene,user_9,Hyderabad,retail shop,332,12
10,2024-03-02,Disappointed with product quality,user_10,Chennai,retail shop,32,40
11,2024-03-17,Awesome ambience and delicious food,user_11,Chennai,retail shop,72,140
12,2024-03-20,Very slow service and bad management,user_12,Delhi,cafe,282,37
13,2024-02-21,Poor customer support and delays,user_13,Mumbai,mall,241,114
14,2024-02-28,Bad quality food and poor hygiene,user_14,Chennai,restaurant,431,112
15,2024-03-27,Very satisfied with the service provided,user_15,Chennai,food outlet,352,68
16,2024-01-25,"Worst experience ever, very disappointed",user_16,Bangalore,restaurant,147,155
17,2024-03-22,"Excellent quality products, highly recommended",user_17,Delhi,restaurant,248,106
18,2024-01-24,Just a regular experience,user_18,Delhi,retail shop,213,58
19,2024-03-13,Just a regular experience,user_19,Mumbai,cafe,134,144
20,2024-01-31,"Horrible experience, will not return",user_20,Bangalore,cafe,318,87
21,2024-01-20,Very satisfied with the service provided,user_21,Chennai,retail shop,21,186
22,2024-03-18,Just a regular experience,user_22,Chennai,retail shop,336,171
23,2024-02-22,Not worth the price at all,user_23,Bangalore,cafe,329,53
24,2024-02-28,Very satisfied with the service provided,user_24,Hyderabad,mall,468,120
25,2024-03-22,Very slow service and bad management,user_25,Delhi,mall,82,136
26,2024-01-27,Perfect place for family dinner,user_26,Chennai,mall,326,183
27,2024-02-09,Nothing impressive but acceptable,user_27,Mumbai,cafe,180,54
28,2024-02-19,"Worst experience ever, very disappointed",user_28,Mumbai,retail shop,492,60
29,2024-02-24,"Excellent quality products, highly recommended",user_29,Bangalore,mall,378,67
30,2024-03-01,The experience was okay overall,user_30,Bangalore,restaurant,98,164
31,2024-01-16,Great service and friendly staff at the cafe,user_31,Mumbai,restaurant,487,65
32,2024-03-26,Bad quality food and poor hygiene,user_32,Bangalore,mall,479,134
33,2024-03-14,Amazing experience shopping here,user_33,Bangalore,restaurant,325,75
34,2024-02-08,Disappointed with product quality,user_34,Chennai,mall,492,107
35,2024-03-02,Poor customer support and delays,user_35,Bangalore,cafe,122,51
36,2024-01-20,Just a regular experience,user_36,Bangalore,mall,465,17
37,2024-01-12,Very slow service and bad management,user_37,Hyderabad,cafe,208,182
38,2024-01-15,"Best place in town, very happy with service",user_38,Hyderabad,restaurant,23,195
39,2024-02-17,"Loved the food at this restaurant, amazing taste!",user_39,Delhi,retail shop,172,156
40,2024-02-19,Not worth the price at all,user_40,Chennai,retail shop,9,17
41,2024-02-10,Poor customer support and delays,user_41,Bangalore,restaurant,354,135
42,2024-03-07,"Excellent quality products, highly recommended",user_42,Hyderabad,retail shop,301,63
43,2024-03-29,Bad quality food and poor hygiene,user_43,Bangalore,food outlet,285,6
44,2024-01-26,Just a regular experience,user_44,Mumbai,food outlet,217,198
45,2024-03-12,Average ambiance and service,user_45,Mumbai,cafe,273,183
46,2024-01-16,"Loved the food at this restaurant, amazing taste!",user_46,Delhi,restaurant,101,21
47,2024-02-27,"Excellent quality products, highly recommended",user_47,Chennai,restaurant,239,141
48,2024-01-21,Nothing impressive but acceptable,user_48,Chennai,mall,220,199
49,2024-02-17,Very satisfied with the service provided,user_49,Chennai,food outlet,176,140
50,2024-01-17,"The place is okay, average experience",user_50,Bangalore,retail shop,479,43
51,2024-03-06,Perfect place for family dinner,user_51,Mumbai,cafe,158,32
52,2024-02-25,"Horrible experience, will not return",user_52,Mumbai,restaurant,375,52
53,2024-03-19,Bad quality food and poor hygiene,user_53,Delhi,mall,315,10
54,2024-02-08,"Waste of money, not recommended",user_54,Hyderabad,food outlet,30,66
55,2024-03-12,"Horrible experience, will not return",user_55,Chennai,retail shop,62,150
56,2024-01-03,"It was fine, nothing memorable",user_56,Bangalore,retail shop,209,83
57,2024-03-25,"Food is normal, nothing special",user_57,Delhi,restaurant,12,35
58,2024-01-26,Poor customer support and delays,user_58,Delhi,food outlet,29,160
59,2024-01-27,It was an average visit,user_59,Chennai,restaurant,81,181
60,2024-01-18,"Food is normal, nothing special",user_60,Mumbai,retail shop,99,61
61,2024-01-10,Moderate quality and decent service,user_61,Chennai,food outlet,78,119
62,2024-01-22,Awful service and dirty place,user_62,Chennai,mall,269,63
63,2024-03-24,Awesome ambience and delicious food,user_63,Delhi,mall,367,166
64,2024-02-04,"Worst experience ever, very disappointed",user_64,Chennai,food outlet,499,96
65,2024-01-14,Average ambiance and service,user_65,Hyderabad,retail shop,149,1
66,2024-02-26,Just a regular experience,user_66,Bangalore,mall,46,24
67,2024-03-08,"Excellent quality products, highly recommended",user_67,Bangalore,cafe,446,173
68,2024-02-17,Super fast delivery and great packaging,user_68,Bangalore,food outlet,412,9
69,2024-01-25,"The place is okay, average experience",user_69,Chennai,restaurant,50,174
70,2024-02-27,"Best place in town, very happy with service",user_70,Bangalore,retail shop,296,30
71,2024-03-28,Awesome ambience and delicious food,user_71,Hyderabad,restaurant,62,26
72,2024-02-29,Average ambiance and service,user_72,Bangalore,cafe,233,45
73,2024-03-11,Amazing experience shopping here,user_73,Mumbai,mall,382,200
74,2024-01-21,Average ambiance and service,user_74,Mumbai,retail shop,44,200
75,2024-02-08,"Excellent quality products, highly recommended",user_75,Chennai,retail shop,195,194
76,2024-03-07,"Horrible experience, will not return",user_76,Chennai,restaurant,9,182
77,2024-03-17,Average ambiance and service,user_77,Chennai,mall,422,189
78,2024-01-30,Awesome ambience and delicious food,user_78,Bangalore,restaurant,136,172
79,2024-02-22,Not worth the price at all,user_79,Hyderabad,restaurant,382,155
80,2024-02-23,Perfect place for family dinner,user_80,Delhi,retail shop,224,150
81,2024-01-28,Amazing experience shopping here,user_81,Chennai,cafe,451,145
82,2024-01-05,Amazing experience shopping here,user_82,Chennai,restaurant,477,81
83,2024-02-22,Super fast delivery and great packaging,user_83,Mumbai,cafe,421,149
84,2024-01-07,Awesome ambience and delicious food,user_84,Delhi,food outlet,180,183
85,2024-02-20,Amazing experience shopping here,user_85,Bangalore,mall,436,107
86,2024-03-15,"Loved the food at this restaurant, amazing taste!",user_86,Delhi,mall,137,111
87,2024-02-26,"Waste of money, not recommended",user_87,Delhi,retail shop,448,176
88,2024-01-21,Terrible service and rude staff,user_88,Delhi,food outlet,490,94
89,2024-02-19,Bad quality food and poor hygiene,user_89,Bangalore,mall,371,34
90,2024-03-09,"Waste of money, not recommended",user_90,Mumbai,restaurant,413,132
91,2024-02-06,"The place is okay, average experience",user_91,Hyderabad,food outlet,253,156
92,2024-01-22,"Horrible experience, will not return",user_92,Chennai,cafe,283,24
93,2024-03-12,"Waste of money, not recommended",user_93,Bangalore,mall,275,178
94,2024-03-05,Amazing experience shopping here,user_94,Bangalore,restaurant,191,157
95,2024-02-12,Bad quality food and poor hygiene,user_95,Chennai,restaurant,154,42
96,2024-01-06,Moderate quality and decent service,user_96,Delhi,food outlet,232,123
97,2024-03-19,Super fast delivery and great packaging,user_97,Hyderabad,cafe,213,91
98,2024-01-08,"Waste of money, not recommended",user_98,Hyderabad,retail shop,423,67
99,2024-01-24,Very satisfied with the service provided,user_99,Mumbai,cafe,65,52
100,2024-02-23,Not worth the price at all,user_100,Hyderabad,food outlet,420,14
101,2024-01-03,"Best place in town, very happy with service",user_101,Bangalore,food outlet,39,131
102,2024-01-19,"Best place in town, very happy with service",user_102,Mumbai,food outlet,0,92
103,2024-02-05,Very slow service and bad management,user_103,Chennai,restaurant,449,154
104,2024-03-18,Very satisfied with the service provided,user_104,Bangalore,restaurant,345,40
105,2024-01-04,"The place is okay, average experience",user_105,Mumbai,mall,323,175
106,2024-01-03,"Fantastic experience, will visit again",user_106,Mumbai,cafe,208,52
107,2024-03-16,"Service was fine, not too good not bad",user_107,Delhi,mall,174,148
108,2024-01-06,Awful service and dirty place,user_108,Bangalore,mall,54,129
109,2024-01-22,It was an average visit,user_109,Chennai,cafe,324,159
110,2024-01-05,"It was fine, nothing memorable",user_110,Delhi,food outlet,403,48
111,2024-01-28,"Best place in town, very happy with service",user_111,Chennai,food outlet,266,167
112,2024-02-19,"Waste of money, not recommended",user_112,Chennai,mall,142,35
113,2024-03-16,"Food is normal, nothing special",user_113,Delhi,restaurant,310,0
114,2024-03-03,"Service was fine, not too good not bad",user_114,Chennai,restaurant,334,65
115,2024-02-29,Disappointed with product quality,user_115,Hyderabad,restaurant,351,192
116,2024-01-28,"Fantastic experience, will visit again",user_116,Delhi,mall,419,162
117,2024-01-08,Terrible service and rude staff,user_117,Mumbai,mall,463,197
118,2024-02-14,Perfect place for family dinner,user_118,Hyderabad,retail shop,274,46
119,2024-01-28,Amazing experience shopping here,user_119,Mumbai,restaurant,423,120
120,2024-03-25,Terrible service and rude staff,user_120,Hyderabad,cafe,375,14
121,2024-01-09,Moderate quality and decent service,user_121,Chennai,retail shop,447,40
122,2024-01-21,Perfect place for family dinner,user_122,Chennai,restaurant,72,11
123,2024-02-22,"It was fine, nothing memorable",user_123,Chennai,food outlet,77,4
124,2024-02-01,Awesome ambience and delicious food,user_124,Bangalore,mall,345,37
125,2024-01-10,"Excellent quality products, highly recommended",user_125,Hyderabad,cafe,353,129
126,2024-02-20,"Horrible experience, will not return",user_126,Hyderabad,cafe,330,96
127,2024-03-14,Awesome ambience and delicious food,user_127,Delhi,cafe,419,156
128,2024-01-14,Super fast delivery and great packaging,user_128,Hyderabad,restaurant,209,69
129,2024-01-18,It was an average visit,user_129,Mumbai,food outlet,159,173
130,2024-01-06,"Food is normal, nothing special",user_130,Bangalore,retail shop,493,105
131,2024-03-27,Very slow service and bad management,user_131,Chennai,mall,263,143
132,2024-03-22,"Service was fine, not too good not bad",user_132,Hyderabad,mall,125,162
133,2024-02-20,The experience was okay overall,user_133,Chennai,retail shop,468,129
134,2024-03-06,"Best place in town, very happy with service",user_134,Delhi,mall,97,135
135,2024-02-28,"Food is normal, nothing special",user_135,Mumbai,restaurant,253,2
136,2024-02-04,Disappointed with product quality,user_136,Mumbai,retail shop,7,139
137,2024-01-12,Awesome ambience and delicious food,user_137,Mumbai,cafe,296,140
138,2024-01-27,It was an average visit,user_138,Delhi,food outlet,326,67
139,2024-02-04,Perfect place for family dinner,user_139,Bangalore,cafe,7,38
140,2024-01-24,"Best place in town, very happy with service",user_140,Chennai,retail shop,303,169
141,2024-03-23,"Excellent quality products, highly recommended",user_141,Bangalore,restaurant,263,142
142,2024-03-26,Disappointed with product quality,user_142,Delhi,retail shop,352,42
143,2024-02-23,"It was fine, nothing memorable",user_143,Chennai,cafe,490,87
144,2024-01-20,"Best place in town, very happy with service",user_144,Mumbai,restaurant,393,110
145,2024-03-08,It was an average visit,user_145,Mumbai,restaurant,86,96
146,2024-01-03,Just a regular experience,user_146,Mumbai,mall,478,193
147,2024-02-18,"Horrible experience, will not return",user_147,Bangalore,food outlet,52,126
148,2024-01-07,Nothing impressive but acceptable,user_148,Hyderabad,mall,371,30
149,2024-01-29,It was an average visit,user_149,Hyderabad,cafe,2,31
150,2024-02-06,Just a regular experience,user_150,Hyderabad,food outlet,204,34
151,2024-01-16,"Waste of money, not recommended",user_151,Bangalore,cafe,400,200
152,2024-02-04,Awful service and dirty place,user_152,Delhi,food outlet,417,57
153,2024-01-11,"Excellent quality products, highly recommended",user_153,Chennai,cafe,328,43
154,2024-03-24,"Excellent quality products, highly recommended",user_154,Chennai,cafe,429,156
155,2024-01-08,Nothing impressive but acceptable,user_155,Chennai,retail shop,96,183
156,2024-02-02,Just a regular experience,user_156,Hyderabad,cafe,493,176
157,2024-01-01,"Loved the food at this restaurant, amazing taste!",user_157,Bangalore,retail shop,219,129
158,2024-02-28,Average ambiance and service,user_158,Delhi,food outlet,37,179
159,2024-01-29,It was an average visit,user_159,Bangalore,retail shop,375,18
160,2024-01-21,Very slow service and bad management,user_160,Chennai,cafe,95,37
161,2024-02-26,"Loved the food at this restaurant, amazing taste!",user_161,Bangalore,retail shop,198,18
162,2024-02-16,Amazing experience shopping here,user_162,Chennai,retail shop,308,41
163,2024-02-01,Great service and friendly staff at the cafe,user_163,Hyderabad,cafe,64,70
164,2024-01-04,"Service was fine, not too good not bad",user_164,Mumbai,retail shop,51,11
165,2024-03-10,"Loved the food at this restaurant, amazing taste!",user_165,Bangalore,food outlet,45,104
166,2024-01-26,Great service and friendly staff at the cafe,user_166,Chennai,restaurant,239,82
167,2024-01-04,Not worth the price at all,user_167,Chennai,restaurant,433,102
168,2024-02-06,"Food is normal, nothing special",user_168,Chennai,cafe,172,23
169,2024-03-03,Average ambiance and service,user_169,Mumbai,food outlet,177,166
170,2024-01-28,"The place is okay, average experience",user_170,Chennai,food outlet,380,9
171,2024-03-01,Super fast delivery and great packaging,user_171,Delhi,food outlet,494,85
172,2024-01-01,"Worst experience ever, very disappointed",user_172,Mumbai,retail shop,167,117
173,2024-02-26,Moderate quality and decent service,user_173,Mumbai,cafe,106,198
174,2024-01-11,Very satisfied with the service provided,user_174,Bangalore,mall,329,56
175,2024-02-05,Amazing experience shopping here,user_175,Mumbai,food outlet,315,69
176,2024-03-24,"It was fine, nothing memorable",user_176,Delhi,food outlet,23,25
177,2024-02-28,Very slow service and bad management,user_177,Mumbai,retail shop,203,99
178,2024-01-18,"Waste of money, not recommended",user_178,Delhi,cafe,460,172
179,2024-02-05,Average ambiance and service,user_179,Bangalore,restaurant,68,97
180,2024-03-23,Just a regular experience,user_180,Bangalore,mall,283,74
181,2024-03-23,"Food is normal, nothing special",user_181,Bangalore,restaurant,183,13
182,2024-01-14,Super fast delivery and great packaging,user_182,Delhi,food outlet,244,167
183,2024-01-09,Very satisfied with the service provided,user_183,Chennai,retail shop,169,22
184,2024-01-14,"Food is normal, nothing special",user_184,Delhi,restaurant,197,198
185,2024-03-18,Super fast delivery and great packaging,user_185,Delhi,mall,73,143
186,2024-03-26,Disappointed with product quality,user_186,Hyderabad,retail shop,86,80
187,2024-02-22,Awesome ambience and delicious food,user_187,Bangalore,mall,158,123
188,2024-02-21,"Waste of money, not recommended",user_188,Hyderabad,food outlet,89,67
189,2024-03-09,Disappointed with product quality,user_189,Mumbai,restaurant,241,86
190,2024-03-14,Bad quality food and poor hygiene,user_190,Hyderabad,food outlet,4,16
191,2024-03-31,"Fantastic experience, will visit again",user_191,Bangalore,mall,91,38
192,2024-01-17,Awesome ambience and delicious food,user_192,Mumbai,food outlet,373,150
193,2024-01-14,"Waste of money, not recommended",user_193,Delhi,restaurant,136,198
194,2024-02-01,"Food is normal, nothing special",user_194,Delhi,retail shop,486,129
195,2024-02-04,Very slow service and bad management,user_195,Chennai,food outlet,307,134
196,2024-01-09,Terrible service and rude staff,user_196,Chennai,cafe,337,142
197,2024-01-24,Very slow service and bad management,user_197,Chennai,cafe,48,20
198,2024-01-22,"It was fine, nothing memorable",user_198,Bangalore,mall,491,47
199,2024-01-22,"Best place in town, very happy with service",user_199,Chennai,retail shop,2,34
200,2024-02-01,It was an average visit,user_200,Mumbai,cafe,492,7
201,2024-02-08,"Horrible experience, will not return",user_201,Delhi,retail shop,348,71
202,2024-02-07,Moderate quality and decent service,user_202,Mumbai,food outlet,442,146
203,2024-01-28,Perfect place for family dinner,user_203,Mumbai,cafe,291,165
204,2024-03-01,"Fantastic experience, will visit again",user_204,Chennai,mall,414,87
205,2024-02-07,"Loved the food at this restaurant, amazing taste!",user_205,Hyderabad,cafe,298,131
206,2024-02-16,Super fast delivery and great packaging,user_206,Mumbai,mall,292,120
207,2024-03-05,Poor customer support and delays,user_207,Chennai,food outlet,405,138
208,2024-02-08,Nothing impressive but acceptable,user_208,Hyderabad,mall,215,64
209,2024-01-21,Nothing impressive but acceptable,user_209,Chennai,retail shop,18,193
210,2024-01-01,Great service and friendly staff at the cafe,user_210,Bangalore,mall,40,122
211,2024-02-04,"Horrible experience, will not return",user_211,Mumbai,cafe,342,176
212,2024-02-07,"Waste of money, not recommended",user_212,Mumbai,retail shop,101,53
213,2024-01-04,Just a regular experience,user_213,Bangalore,mall,255,81
214,2024-01-09,Just a regular experience,user_214,Delhi,mall,236,43
215,2024-02-21,It was an average visit,user_215,Mumbai,food outlet,104,194
216,2024-03-05,Awesome ambience and delicious food,user_216,Mumbai,food outlet,25,107
217,2024-01-17,Terrible service and rude staff,user_217,Hyderabad,food outlet,296,17
218,2024-03-16,"It was fine, nothing memorable",user_218,Mumbai,restaurant,469,77
219,2024-03-31,"Loved the food at this restaurant, amazing taste!",user_219,Mumbai,food outlet,385,66
220,2024-02-16,"The place is okay, average experience",user_220,Hyderabad,food outlet,445,172
221,2024-03-15,Awful service and dirty place,user_221,Bangalore,cafe,191,34
222,2024-02-09,Very satisfied with the service provided,user_222,Chennai,mall,301,131
223,2024-02-26,Perfect place for family dinner,user_223,Hyderabad,restaurant,500,194
224,2024-02-18,"Waste of money, not recommended",user_224,Chennai,retail shop,251,57
225,2024-03-30,Disappointed with product quality,user_225,Mumbai,restaurant,204,86
226,2024-01-07,Great service and friendly staff at the cafe,user_226,Hyderabad,mall,372,106
